# generated for laser system 1
# Made by hand by Matthias
# N, HRM, VRM, HS, VS, S, SC, AT, AP
334, -40000, 0, 4000, 8000, 4. 0, 4800, 0
335, -46000, 0, 15000, 8000, 0, 0, 4800, 0
336, -27000, 0, 4000, 8000, 4. 0, 4800, 0
337, -52000, 0, 15000, 8000, 0, 0, 4800, 0
338, -52000, 0, 4000, 8000, 4. 0, 4800, 0
339, -39000, 0, 15000, 8000, 0, 0, 4800, 0
340, -40000, 0, 4000, 8000, 4. 0, 4800, 0
341, 354000, 0, 15000, 8000, 0, 0, 4800, 0
342, 0, 12500, 8000, 8000, 0, 0, 4800, 0
343, -25000, 0, 4000, 8000, 4. 0, 4800, 0
344, -33000, 0, 15000, 8000, 0, 0, 4800, 0
345, -40000, 0, 4000, 8000, 4. 0, 4800, 0
346, -46000, 0, 15000, 8000, 0, 0, 4800, 0
347, -27000, 0, 4000, 8000, 4. 0, 4800, 0
348, -52000, 0, 15000, 8000, 0, 0, 4800, 0
349, -52000, 0, 4000, 8000, 4. 0, 4800, 0
350, -39000, 0, 15000, 8000, 0, 0, 4800, 0
351, -40000, 0, 4000, 8000, 4. 0, 4800, 0
352, 354000, 0, 15000, 8000, 0, 0, 4800, 0
353, 0, 12500, 8000, 8000, 0, 0, 4800, 0
354, -25000, 0, 4000, 8000, 4. 0, 4800, 0
355, -33000, 0, 15000, 8000, 0, 0, 4800, 0
356, -40000, 0, 4000, 8000, 4. 0, 4800, 0
357, -46000, 0, 15000, 8000, 0, 0, 4800, 0
358, -27000, 0, 4000, 8000, 4. 0, 4800, 0
359, -52000, 0, 15000, 8000, 0, 0, 4800, 0
360, -52000, 0, 4000, 8000, 4. 0, 4800, 0
361, -39000, 0, 15000, 8000, 0, 0, 4800, 0
362, -40000, 0, 4000, 8000, 4. 0, 4800, 0
363, 354000, 0, 15000, 8000, 0, 0, 4800, 0
364, 0, 12500, 8000, 8000, 0, 0, 4800, 0
365, -25000, 0, 4000, 8000, 4. 0, 4800, 0
366, -33000, 0, 15000, 8000, 0, 0, 4800, 0
367, -40000, 0, 4000, 8000, 4. 0, 4800, 0
368, -46000, 0, 15000, 8000, 0, 0, 4800, 0
369, -27000, 0, 4000, 8000, 4. 0, 4800, 0
370, -52000, 0, 15000, 8000, 0, 0, 4800, 0
371, -52000, 0, 4000, 8000, 4. 0, 4800, 0
372, -39000, 0, 15000, 8000, 0, 0, 4800, 0
373, -40000, 0, 4000, 8000, 4. 0, 4800, 0
374, 354000, 0, 15000, 8000, 0, 0, 4800, 0
375, 0, 12500, 8000, 8000, 0, 0, 4800, 0
376, -25000, 0, 4000, 8000, 4. 0, 4800, 0
377, -33000, 0, 15000, 8000, 0, 0, 4800, 0
378, -40000, 0, 4000, 8000, 4. 0, 4800, 0
379, -46000, 0, 15000, 8000, 0, 0, 4800, 0
380, -27000, 0, 4000, 8000, 4. 0, 4800, 0
381, -52000, 0, 15000, 8000, 0, 0, 4800, 0
382, -52000, 0, 4000, 8000, 4. 0, 4800, 0
383, -39000, 0, 15000, 8000, 0, 0, 4800, 0
384, -40000, 0, 4000, 8000, 4. 0, 4800, 0
385, 354000, 0, 15000, 8000, 0, 0, 4800, 0
386, 0, 12500, 8000, 8000, 0, 0, 4800, 0
387, -25000, 0, 4000, 8000, 4. 0, 4800, 0
388, -33000, 0, 15000, 8000, 0, 0, 4800, 0
389, -40000, 0, 4000, 8000, 4. 0, 4800, 0
390, -46000, 0, 15000, 8000, 0, 0, 4800, 0
391, -27000, 0, 4000, 8000, 4. 0, 4800, 0
392, -52000, 0, 15000, 8000, 0, 0, 4800, 0
393, -52000, 0, 4000, 8000, 4. 0, 4800, 0
394, -39000, 0, 15000, 8000, 0, 0, 4800, 0
395, -40000, 0, 4000, 8000, 4. 0, 4800, 0
396, 354000, 0, 15000, 8000, 0, 0, 4800, 0
397, 0, 12500, 8000, 8000, 0, 0, 4800, 0
398, -25000, 0, 4000, 8000, 4. 0, 4800, 0
399, -33000, 0, 15000, 8000, 0, 0, 4800, 0
400, -40000, 0, 4000, 8000, 4. 0, 4800, 0
401, -46000, 0, 15000, 8000, 0, 0, 4800, 0
402, -27000, 0, 4000, 8000, 4. 0, 4800, 0
403, -52000, 0, 15000, 8000, 0, 0, 4800, 0
404, -52000, 0, 4000, 8000, 4. 0, 4800, 0
405, -39000, 0, 15000, 8000, 0, 0, 4800, 0
406, -40000, 0, 4000, 8000, 4. 0, 4800, 0
407, 354000, 0, 15000, 8000, 0, 0, 4800, 0
408, 0, 12500, 8000, 8000, 0, 0, 4800, 0
409, -25000, 0, 4000, 8000, 4. 0, 4800, 0
410, -33000, 0, 15000, 8000, 0, 0, 4800, 0
411, -40000, 0, 4000, 8000, 4. 0, 4800, 0
412, -46000, 0, 15000, 8000, 0, 0, 4800, 0
413, -27000, 0, 4000, 8000, 4. 0, 4800, 0
414, -52000, 0, 15000, 8000, 0, 0, 4800, 0
415, -52000, 0, 4000, 8000, 4. 0, 4800, 0
416, -39000, 0, 15000, 8000, 0, 0, 4800, 0
417, -40000, 0, 4000, 8000, 4. 0, 4800, 0
418, 354000, 0, 15000, 8000, 0, 0, 4800, 0
419, 0, 12500, 8000, 8000, 0, 0, 4800, 0
420, -25000, 0, 4000, 8000, 4. 0, 4800, 0
421, -33000, 0, 15000, 8000, 0, 0, 4800, 0
422, -40000, 0, 4000, 8000, 4. 0, 4800, 0
423, -46000, 0, 15000, 8000, 0, 0, 4800, 0
424, -27000, 0, 4000, 8000, 4. 0, 4800, 0
425, -52000, 0, 15000, 8000, 0, 0, 4800, 0
426, -52000, 0, 4000, 8000, 4. 0, 4800, 0
427, -39000, 0, 15000, 8000, 0, 0, 4800, 0
428, -40000, 0, 4000, 8000, 4. 0, 4800, 0
429, 354000, 0, 15000, 8000, 0, 0, 4800, 0
430, 0, 12500, 8000, 8000, 0, 0, 4800, 0
431, -25000, 0, 4000, 8000, 4. 0, 4800, 0
432, -33000, 0, 15000, 8000, 0, 0, 4800, 0
433, -40000, 0, 4000, 8000, 4. 0, 4800, 0
434, -46000, 0, 15000, 8000, 0, 0, 4800, 0
435, -27000, 0, 4000, 8000, 4. 0, 4800, 0
436, -52000, 0, 15000, 8000, 0, 0, 4800, 0
437, -52000, 0, 4000, 8000, 4. 0, 4800, 0
438, -39000, 0, 15000, 8000, 0, 0, 4800, 0
439, -40000, 0, 4000, 8000, 4. 0, 4800, 0
440, 354000, 0, 15000, 8000, 0, 0, 4800, 0
441, 0, 12500, 8000, 8000, 0, 0, 4800, 0
442, -25000, 0, 4000, 8000, 4. 0, 4800, 0
443, -33000, 0, 15000, 8000, 0, 0, 4800, 0
444, -40000, 0, 4000, 8000, 4. 0, 4800, 0
445, -46000, 0, 15000, 8000, 0, 0, 4800, 0
446, -27000, 0, 4000, 8000, 4. 0, 4800, 0
447, -52000, 0, 15000, 8000, 0, 0, 4800, 0
448, -52000, 0, 4000, 8000, 4. 0, 4800, 0
449, -39000, 0, 15000, 8000, 0, 0, 4800, 0
450, -40000, 0, 4000, 8000, 4. 0, 4800, 0
451, 354000, 0, 15000, 8000, 0, 0, 4800, 0
452, 0, 12500, 8000, 8000, 0, 0, 4800, 0
453, -25000, 0, 4000, 8000, 4. 0, 4800, 0
454, -33000, 0, 15000, 8000, 0, 0, 4800, 0
